Date,Region,Product,SalesCount
2022-01-03,South,Product C,716
2022-01-04,South,Product C,1623
2022-01-07,South,Product A,1159
2022-01-12,West,Product B,501
2022-01-21,East,Product B,1567
2022-01-24,West,Product B,802
2022-02-07,South,Product B,656
2022-02-16,East,Product C,1022
2022-02-19,South,Product B,1057
2022-02-21,East,Product B,1252
2022-02-22,South,Product A,1153
2022-02-23,North,Product C,1796
2022-02-24,North,Product A,1089
2022-02-26,West,Product A,1598
2022-03-02,South,Product A,892
2022-03-09,North,Product B,627
2022-03-10,South,Product B,1884
2022-03-12,West,Product B,1427
2022-03-22,North,Product A,1099
2022-03-24,East,Product A,1433
2022-03-29,North,Product C,1483
2022-04-03,South,Product C,1784
2022-04-10,North,Product A,1874
2022-04-14,East,Product C,1323
2022-04-16,West,Product B,1952
2022-04-19,West,Product C,1943
2022-04-20,East,Product B,1098
2022-04-27,South,Product C,855
2022-05-02,South,Product B,1769
2022-05-03,South,Product A,1608
2022-05-04,East,Product A,925
2022-05-07,South,Product B,1000
2022-05-09,North,Product C,834
2022-05-17,East,Product A,815
2022-05-20,West,Product C,1600
2022-05-25,South,Product C,628
2022-05-26,West,Product C,1475
2022-05-28,West,Product A,846
2022-05-30,East,Product C,1624
2022-05-31,West,Product A,698
2022-06-03,North,Product B,1128
2022-06-08,North,Product C,1780
2022-06-09,East,Product A,1516
2022-06-10,West,Product A,1979
2022-06-13,South,Product C,1923
2022-06-15,East,Product B,934
2022-06-17,North,Product A,1701
2022-06-23,South,Product A,838
2022-06-29,East,Product B,644
2022-07-07,East,Product A,1774
2022-07-09,West,Product B,1152
2022-07-10,South,Product B,768
2022-07-20,West,Product A,1821
2022-07-21,West,Product C,694
2022-07-28,North,Product A,1579
2022-07-30,West,Product A,775
2022-08-06,North,Product B,556
2022-08-16,North,Product C,692
2022-08-19,West,Product C,1817
2022-08-21,East,Product A,1344
2022-08-26,East,Product B,1467
2022-08-27,West,Product A,1227
2022-08-28,East,Product A,1909
2022-09-10,West,Product A,1927
2022-09-20,North,Product A,619
2022-09-21,North,Product C,838
2022-09-22,East,Product B,1083
2022-09-23,South,Product B,512
2022-09-24,South,Product C,1285
2022-10-02,North,Product C,1030
2022-10-03,West,Product B,1584
2022-10-11,South,Product B,1758
2022-10-15,West,Product C,985
2022-10-19,East,Product A,1755
2022-10-22,North,Product B,1385
2022-10-30,West,Product A,1558
2022-11-06,West,Product A,609
2022-11-08,South,Product A,1574
2022-11-12,South,Product B,1871
2022-11-14,North,Product B,1398
2022-11-22,North,Product B,784
2022-11-23,North,Product A,610
2022-11-27,East,Product B,849
2022-11-29,East,Product B,1665
2022-12-04,East,Product B,663
2022-12-08,West,Product B,1958
2022-12-10,North,Product A,1578
2022-12-12,West,Product A,1383
2022-12-13,North,Product B,1335
2022-12-18,East,Product B,1033
2022-12-20,East,Product B,1297
2022-12-23,North,Product A,1509
2022-12-27,West,Product C,1989
2022-12-31,East,Product A,765
2023-01-03,East,Product A,1245
2023-01-07,North,Product C,1782
2023-01-13,North,Product B,1999
2023-01-14,South,Product C,1119
2023-01-16,East,Product B,1337
2023-01-18,East,Product A,915
2023-01-25,South,Product A,557
2023-01-27,East,Product B,1995
2023-02-01,North,Product B,1490
2023-02-02,South,Product C,514
2023-02-15,East,Product C,1675
2023-02-19,East,Product A,1872
2023-02-20,South,Product C,1576
2023-02-21,West,Product B,1218
2023-02-23,South,Product A,819
2023-02-25,South,Product B,602
2023-02-27,East,Product C,1272
2023-03-04,West,Product B,1425
2023-03-05,North,Product B,1566
2023-03-10,East,Product B,1790
2023-03-13,North,Product B,614
2023-03-16,South,Product B,706
2023-03-19,East,Product A,1890
2023-03-20,West,Product C,504
2023-03-24,North,Product A,1340
2023-03-27,North,Product A,1523
2023-03-29,South,Product B,1129
2023-04-02,South,Product A,940
2023-04-04,West,Product C,1619
2023-04-08,South,Product A,1368
2023-04-09,North,Product C,1784
2023-04-10,South,Product A,986
2023-04-14,West,Product A,1896
2023-04-15,North,Product A,1739
2023-04-16,East,Product C,1993
2023-04-20,East,Product A,677
2023-04-22,South,Product A,1377
2023-04-27,North,Product B,1638
2023-05-02,North,Product B,1472
2023-05-15,South,Product B,799
2023-05-19,West,Product B,1549
2023-05-20,West,Product A,1322
2023-05-22,North,Product C,660
2023-05-23,East,Product C,1076
2023-05-31,East,Product B,1807
2023-06-03,East,Product A,1087
2023-06-05,East,Product A,1786
2023-06-06,North,Product B,530
2023-06-07,South,Product B,1702
2023-06-08,North,Product B,697
2023-06-10,East,Product B,1535
2023-06-11,South,Product C,1122
2023-06-13,South,Product C,1195
2023-06-14,South,Product B,1960
2023-06-21,North,Product C,1102
2023-06-28,East,Product B,1336
2023-06-29,South,Product B,956
2023-06-30,West,Product B,1120
2023-07-01,East,Product B,566
2023-07-06,West,Product B,1620
2023-07-08,East,Product B,809
2023-07-18,North,Product C,1195
2023-07-23,South,Product B,1163
2023-07-24,East,Product B,1707
2023-07-25,West,Product A,1490
2023-07-26,West,Product B,593
2023-07-27,North,Product C,1616
2023-07-28,South,Product B,1788
2023-07-30,East,Product C,1150
2023-08-03,North,Product B,1800
2023-08-07,South,Product A,1794
2023-08-10,East,Product C,1356
2023-08-14,South,Product A,766
2023-08-16,South,Product C,1291
2023-08-17,South,Product B,1444
2023-08-18,East,Product A,667
2023-08-19,West,Product C,1701
2023-08-20,West,Product A,1311
2023-08-22,East,Product A,1959
2023-08-25,South,Product C,1256
2023-08-27,South,Product C,1281
2023-08-28,West,Product C,1289
2023-09-02,North,Product A,704
2023-09-03,South,Product A,1616
2023-09-08,South,Product A,798
2023-09-13,South,Product A,903
2023-09-17,South,Product A,990
2023-09-20,West,Product B,1662
2023-09-24,North,Product C,1812
2023-09-25,East,Product B,749
2023-09-28,West,Product C,1656
2023-10-11,East,Product A,642
2023-10-18,East,Product B,1356
2023-10-19,East,Product A,1574
