Occupation,Company,City,Min_salary,Max_salary,Experience,Date
Data Analyst,ITSolutions,Москва,182000.0,408000.0,5.0,2023-11-15
DevOps Engineer,GameDev,Казань,191000.0,481000.0,4.0,2023-04-20
Product Manager,ITSolutions,Уфа,101000.0,118000.0,2.0,2023-12-15
Backend Developer,DataMasters,Москва,101000.0,121000.0,2.0,2023-06-15
QA Engineer,AIVentures,Новосибирск,107000.0,345000.0,5.0,2023-12-28
QA Engineer,AIVentures,Москва,133000.0,144000.0,1.0,2023-10-22
UI/UX Designer,ITSolutions,Москва,113000.0,202000.0,2.0,2023-12-15
Python Developer,TechCorp,Екатеринбург,148000.0,160000.0,3.0,2023-08-12
Frontend Developer,GameDev,Москва,101000.0,121000.0,2.0,2023-05-30
Machine Learning Engineer,ITSolutions,Нижний Новгород,146000.0,159000.0,8.0,2023-03-24
Product Manager,TechCorp,Нижний Новгород,173000.0,308000.0,6.0,2023-01-17
Backend Developer,TechCorp,Екатеринбург,152000.0,321000.0,3.0,2023-07-24
Machine Learning Engineer,AIVentures,Казань,171000.0,416000.0,2.0,2023-05-22
Python Developer,MobileTech,Екатеринбург,180000.0,288000.0,3.0,2023-06-13
Python Developer,CloudNine,Ростов-на-Дону,170000.0,450000.0,5.0,2023-06-12
Data Analyst,DataMasters,Омск,98000.0,293000.0,2.0,2023-03-17
UI/UX Designer,DataMasters,Санкт-Петербург,150000.0,161000.0,2.0,2023-06-25
UI/UX Designer,GameDev,Екатеринбург,138000.0,152000.0,2.0,2023-11-28
QA Engineer,DataMasters,Омск,138000.0,152000.0,6.0,2023-04-03
Data Analyst,TechCorp,Санкт-Петербург,128000.0,141000.0,0.0,2023-12-04
QA Engineer,GameDev,Москва,99000.0,208000.0,5.0,2023-10-16
Machine Learning Engineer,DataMasters,Омск,150000.0,170000.0,0.0,2023-07-15
UI/UX Designer,FinTech,Екатеринбург,194000.0,216000.0,4.0,2023-01-11
Backend Developer,ITSolutions,Москва,144000.0,161000.0,5.0,2023-01-31
Machine Learning Engineer,AIVentures,Ростов-на-Дону,142000.0,158000.0,3.0,2023-05-07
Data Analyst,GameDev,Омск,131000.0,148000.0,5.0,2023-09-20
Data Analyst,DataMasters,Ростов-на-Дону,140000.0,154000.0,5.0,2023-05-25
QA Engineer,MobileTech,Казань,109000.0,126000.0,2.0,2023-04-05
DevOps Engineer,WebStudio,Санкт-Петербург,138000.0,151000.0,7.0,2023-02-03
Machine Learning Engineer,WebStudio,Екатеринбург,159000.0,410000.0,4.0,2023-05-19
Machine Learning Engineer,AIVentures,Казань,63000.0,123000.0,4.0,2023-02-04
Data Analyst,WebStudio,Самара,116000.0,127000.0,2.0,2023-01-20
Frontend Developer,CyberSec,Уфа,141000.0,333000.0,5.0,2023-01-24
Machine Learning Engineer,MobileTech,Москва,102000.0,118000.0,5.0,2023-09-03
QA Engineer,CloudNine,Нижний Новгород,131000.0,143000.0,8.0,2023-12-20
Data Analyst,ITSolutions,Казань,126000.0,140000.0,4.0,2023-01-05
UI/UX Designer,MobileTech,Екатеринбург,105000.0,123000.0,6.0,2023-05-29
Java Engineer,ITSolutions,Казань,111000.0,128000.0,3.0,2023-07-31
Java Engineer,WebStudio,Казань,127000.0,180000.0,3.0,2023-03-09
Machine Learning Engineer,ITSolutions,Нижний Новгород,189000.0,272000.0,3.0,2023-09-04
Frontend Developer,CloudNine,Уфа,134000.0,198000.0,5.0,2023-06-07
DevOps Engineer,WebStudio,Омск,179000.0,414000.0,3.0,2023-09-28
Product Manager,FinTech,Москва,117000.0,128000.0,7.0,2023-09-02
Python Developer,TechCorp,Нижний Новгород,131000.0,144000.0,0.0,2023-06-09
Backend Developer,WebStudio,Екатеринбург,126000.0,136000.0,4.0,2023-01-04
